Material Index,Materials Difficulty,Questions Numbers,Topics
798,-1.82,1,4
799,2.24,3,4
800,-2.83,1,0
801,-0.7599999999999999,1,4
802,-0.75,1,0
803,-0.74,1,2
804,-0.73,1,4
805,1.08,2,4
806,1.09,2,4
807,1.1,2,4
808,-0.72,1,4
809,1.11,2,3
810,3.16,3,2
811,-1.81,1,4
812,2.25,3,0
813,2.26,3,3
814,2.27,3,4
815,1.12,2,0
816,-2.82,1,4
817,3.17,3,3
818,3.18,4,3
819,-1.8,1,4
820,-1.79,1,0
821,3.19,4,4
822,3.2,4,2
823,-2.81,1,4
824,1.13,2,0
825,1.14,2,0
826,2.28,3,0
827,1.15,2,0
828,-2.8,1,4
829,1.16,2,2
830,-0.71,1,4
831,-1.78,1,3
832,3.21,4,0
833,-1.77,1,1
834,-0.7,1,0
835,-1.76,1,4
836,2.29,3,3
837,-0.69,1,4
838,-2.79,1,4
839,0.4800000000000002,1,0
840,-0.6799999999999999,1,0
841,-1.75,1,2
842,-0.6699999999999999,1,4
843,2.3000000000000003,3,3
844,1.17,2,0
845,-2.78,1,2
846,0.4900000000000002,1,0
847,0.0,1,3
848,-0.6599999999999999,1,0
849,1.18,2,1
850,1.19,2,4
851,0.01,1,0
852,0.02,1,0
853,-2.77,1,2
854,-0.6499999999999999,1,3
855,2.31,3,2
856,-2.76,1,4
857,0.03,1,0
858,-0.6399999999999999,1,4
859,-0.6299999999999999,1,4
860,2.3200000000000003,3,0
861,3.22,4,4
862,-0.6199999999999999,1,0
863,-1.74,1,2
864,2.33,3,4
865,-1.73,1,0
866,0.04,1,0
867,-0.6099999999999999,1,4
868,3.23,4,3
869,-0.5999999999999999,1,4
870,-0.5899999999999999,1,3
871,1.2,2,2
872,0.05,1,4
873,2.3400000000000003,3,0
874,0.06,1,4
875,-0.5799999999999998,1,4
876,-1.72,1,4
877,-1.71,1,0
878,2.35,3,0
879,-1.7,1,4
880,-1.69,1,4
881,-2.75,1,0
882,2.3600000000000003,3,4
883,3.24,4,2
884,-0.5699999999999998,1,1
885,-0.5599999999999998,1,4
886,-1.68,1,0
887,-1.67,1,4
888,0.07,1,1
889,-1.66,1,3
890,1.21,2,4
891,-0.5499999999999998,1,2
892,-0.5399999999999998,1,4
893,3.25,4,2
894,1.22,2,0
895,3.26,4,2
896,2.37,3,0
897,-2.74,1,0
898,1.23,2,4
899,2.3800000000000003,3,4
900,3.27,4,4
901,0.08,1,0
902,-2.73,1,4
903,-0.5299999999999998,1,4
904,1.24,2,4
905,2.39,3,4
906,1.25,2,0
907,3.28,3,2
908,0.09,1,1
909,1.26,2,0
910,0.0999999999999999,1,0
911,2.4000000000000004,3,4
912,-1.65,1,0
913,1.27,2,0
914,-2.72,1,4
915,3.29,4,2
916,-0.5199999999999998,1,4
917,1.28,2,4
918,-1.64,1,0
919,3.3000000000000003,3,3
920,1.29,2,4
